{uuid},{properties.title},{properties.url},{properties.guardian},{properties.description},{properties.type},{properties.id},{properties.thumbnail},{latitude},{longitude},"{$.@id=""https://w3id.org/locolligo/VisitPlus-UK""}","{$.indexing=""indexing_VisitPlus-UK.json""}"
18,Caerleon Amphitheatre,https://cadw.gov.wales/visit/places-to-visit/caerleon-amphitheatre,CADW,Blood-soaked Roman entertainment meets Arthurian myth,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C16-1011-0048-ALT.JPG?itok=eedtBic3,51.6080496,-2.9568874,,
19,Caerleon Roman Fortress and Baths,https://cadw.gov.wales/visit/places-to-visit/caerleon-roman-fortress-and-baths,CADW,The luxury and bloodshed of life in a Roman fortress,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C26-1011-0703.JPG?itok=auPnud6q,51.61016857,-2.954034805,,
20,Caernarfon Castle,https://cadw.gov.wales/visit/places-to-visit/caernarfon-castle,CADW,After all these years Caernarfon’s immense strength remains undimmed.,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-VH02-1819-0057.jpg?itok=RnsWqcfM,53.13914441,-4.276932478,,
21,Caernarfon Town Walls,https://cadw.gov.wales/visit/places-to-visit/caernarfon-town-walls,CADW,Caernarfon’s security blanket,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-VH02-1819-0330.JPG?itok=UUVXASUH,53.13956596,-4.276803732,,
22,Caerphilly Castle,https://cadw.gov.wales/visit/places-to-visit/caerphilly-castle,CADW,Fear of a Welsh prince inspired the mightiest medieval castle in Wales,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-KC01-1415-0026.jpg?itok=CiyfaqZK,51.5761094,-3.220281601,,
23,Caerwent Roman Town,https://cadw.gov.wales/visit/places-to-visit/caerwent-roman-town,CADW,A glimpse into a Romanised market town,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-VH07-1718-0330.jpg?itok=lQimQJuz,51.61168764,-2.77102232,,
24,Caer y Twr,https://cadw.gov.wales/visit/places-to-visit/caer-y-twr,CADW,Iron Age settlement in a spectacular mountaintop location,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0201.JPG?itok=tpO72vY3,53.31452849,-4.673103312,,
25,Capel Garmon Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/capel-garmon-burial-chamber,CADW,Neolithic burial chamber in an unexplained location,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C69-1112-0201.JPG?itok=0sruxQ3M,53.07301571,-3.765821457,,
26,Capel Lligwy,https://cadw.gov.wales/visit/places-to-visit/capel-lligwy,CADW,Possibly all that’s left of a vanished community,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0497.jpg?itok=UP2F14RH,53.3523637,-4.2564609,,
27,Carew Cross,https://cadw.gov.wales/visit/places-to-visit/carew-cross,CADW,"Celtic art, Cadw icon",,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C81-1011-0069.JPG?itok=Ti_qAcFn,51.6983824,-4.8300358,,
28,Carreg Cennen,https://cadw.gov.wales/visit/places-to-visit/carreg-cennen,CADW,Iconic ruin offers an unforgettably romantic experience,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/S126-231-D.JPG?itok=CgLdwP8L,51.85438941,-3.935637474,,
29,Carreg Coetan Arthur Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/carreg-coetan-arthur-burial-chamber,CADW,Neolithic tomb with links to Arthurian myth,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0022.jpg?itok=ZGE3pg8y,52.01859244,-4.828255177,,
30,Carswell Medieval House,https://cadw.gov.wales/visit/places-to-visit/carswell-medieval-house,CADW,Through the keyhole of a modest medieval home,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0026.jpg?itok=YiU5rDqX,51.6757741,-4.7530255,,
31,Castell Bryn Gwyn,https://cadw.gov.wales/visit/places-to-visit/castell-bryn-gwyn,CADW,Prehistoric site with an extensive history,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/Castell%20Bryn%20Gwyn%20032-000-924.jpg?itok=uPVei-Ca,53.17846934,-4.297971725,,
32,Castell Coch,https://cadw.gov.wales/visit/places-to-visit/castell-coch,CADW,Fairy-tale castle was a plaything for the rich and powerful,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-09/Drawing-Room-Castell-Coch.jpg?itok=E_F8bTP6,51.53583201,-3.254828453,,
33,Castell y Bere,https://cadw.gov.wales/visit/places-to-visit/castell-y-bere,CADW,Architectural ingenuity and natural advantages combine in a must-visit Welsh-built fortress,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0090.jpg?itok=dFkJFSjX,52.6583699,-3.9708193,,
34,Chepstow Bulwarks Camp,https://cadw.gov.wales/visit/places-to-visit/chepstow-bulwarks-camp,CADW,Hidden remnants of an Iron Age fort,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0032.jpg?itok=XE1DdoB5,51.6284966,-2.6727091,,
35,Chepstow Castle,https://cadw.gov.wales/visit/places-to-visit/chepstow-castle,CADW,The stones of this magnificent clifftop fortress trace 600 years of history,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-VH07-1718-0169.jpg?itok=4v6QkjAk,51.64412231,-2.675170898,,
36,Chepstow Port Wall,https://cadw.gov.wales/visit/places-to-visit/chepstow-port-wall,CADW,Extensive remains of medieval town walls,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-VH07-1718-0181.jpg?itok=XntUbCiD,51.6388444,-2.6749168,,
37,Cilgerran Castle,https://cadw.gov.wales/visit/places-to-visit/cilgerran-castle,CADW,Spectacular castle that wasn’t quite as secure as the Normans hoped,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-AQZ-00009-5359-ALT.jpg?itok=9GGnkZgw,52.05716132,-4.63419199,,
38,Coity Castle,https://cadw.gov.wales/visit/places-to-visit/coity-castle,CADW,"Romantic ruined castle, a storyboard in stone",,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-DR02-1718-0048.jpg?itok=FBW2iA5_,51.522189,-3.5542429,,
39,Conwy Castle,https://cadw.gov.wales/visit/places-to-visit/conwy-castle,CADW,Magnificent medieval fortress still towers over town after 700 years,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-VH08-1718-0091.jpg?itok=exOU_lbO,53.28005939,-3.825623989,,
40,Conwy Town Walls,https://cadw.gov.wales/visit/places-to-visit/conwy-town-walls,CADW,Walking the walls of a World Heritage Site,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C27-1011-0363.JPG?itok=fGkjVZGo,53.27990528,-3.82673112,,
41,Criccieth Castle,https://cadw.gov.wales/visit/places-to-visit/criccieth-castle,CADW,Spectacular coastal castle built – and destroyed – by powerful Welsh princes,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C10-1415-0006.JPG?itok=_x6b1K9w,52.91604477,-4.23248291,,
42,Cymer Abbey,https://cadw.gov.wales/visit/places-to-visit/cymer-abbey,CADW,An example of Cistercian influence in medieval Wales,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-BZ04-0910-050.jpg?itok=xRhcoPZn,52.75834698,-3.896187544,,
43,Denbigh Castle,https://cadw.gov.wales/visit/places-to-visit/denbigh-castle,CADW,Mighty fortress evokes the drama of medieval warfare,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-EQ78-1213-000-3.jpg?itok=_XO0kajx,53.18104772,-3.420546055,,
44,Denbigh Friary,https://cadw.gov.wales/visit/places-to-visit/denbigh-friary,CADW,Ruined religious settlement laid low by Henry VIII,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0115.jpg?itok=AkSca6Ni,53.1877594,-3.409376,,
45,"Denbigh, Leicester's Church",https://cadw.gov.wales/visit/places-to-visit/denbigh-leicesters-church,CADW,Remains of an ill-fated Elizabethan church,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0116.jpg?itok=sYM8ifYu,53.18218206,-3.419006211,,
46,"Denbigh, St Hilary's Chapel",https://cadw.gov.wales/visit/places-to-visit/denbigh-st-hilarys-chapel,CADW,Simple town church that welcomed a celebrity congregation,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0117.jpg?itok=0EwBWbtS,53.18173635,-3.419869511,,
47,Denbigh Town Walls,https://cadw.gov.wales/visit/places-to-visit/denbigh-town-walls,CADW,The first line of defence for Denbigh’s medieval castle,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0119.jpg?itok=d94q78Hx,53.18260367,-3.420825005,,
48,Derwen Churchyard Cross,https://cadw.gov.wales/visit/places-to-visit/derwen-churchyard-cross,CADW,Preaching cross with striking Christian carvings that has stood the test of time,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0127.JPG?itok=imFu6Thz,53.0456881,-3.3882903,,
49,Din Dryfol Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/din-dryfol-burial-chamber,CADW,Burial site and time capsule from the Neolithic period,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0128.jpg?itok=5_ppZ3Dz,53.22489791,-4.407330769,,
50,Dinefwr Castle,https://cadw.gov.wales/visit/places-to-visit/dinefwr-castle,CADW,Much fought-over seat of the kingdom of Deheubarth,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-VH09-1718-0175.jpg?itok=C9AFWH7B,51.87657045,-4.018120766,,
51,Din Lligwy Hut Group,https://cadw.gov.wales/visit/places-to-visit/din-lligwy-hut-group,CADW,Revealing late Roman settlement – but was it originally from the Iron Age?,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0519.jpg?itok=kguz2sYD,53.3505466,-4.2589837,,
52,Dolbadarn Castle,https://cadw.gov.wales/visit/places-to-visit/dolbadarn-castle,CADW,Welsh castle and solitary guardian of Snowdonia’s Llanberis Pass,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0522.jpg?itok=17vO94yK,53.1165225,-4.1140687,,
53,Dolforwyn Castle,https://cadw.gov.wales/visit/places-to-visit/dolforwyn-castle,CADW,Ruined symbol of Welsh defiance,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C07-0708-0002.JPG?itok=dmQDz_jG,52.5463695,-3.2518354,,
54,Dolwyddelan Castle,https://cadw.gov.wales/visit/places-to-visit/dolwyddelan-castle,CADW,Commanding Welsh stronghold in spectacular mountain setting,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0528.jpg?itok=Jmq5WzwT,53.05297735,-3.908214569,,
55,Dryslwyn Castle,https://cadw.gov.wales/visit/places-to-visit/dryslwyn-castle,CADW,Fragmentary – yet evocative – remains of a castle laid low by conflict,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/S132-230-D.JPG?itok=8uJ3RgTJ,51.8625,-4.1013889,,
56,Dyffryn Ardudwy Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/dyffryn-ardudwy-burial-chamber,CADW,Neighbouring tombs built several generations apart,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C69-1112-0012.JPG?itok=2Mf7SzFR,52.7846596,-4.0944273,,
57,Dyfi Furnace,https://cadw.gov.wales/visit/places-to-visit/dyfi-furnace,CADW,Perfectly-preserved example of Welsh industrial heritage in a sublime rural setting,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/MCX-AQZ-0009-4429.jpg?itok=l_DlDLcp,52.5384656,-3.9403059,,
58,Eliseg's Pillar,https://cadw.gov.wales/visit/places-to-visit/elisegs-pillar,CADW,Unpicking the mysteries of this early Christian cross,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0143.jpg?itok=harknvTK,52.9921228,-3.1892813,,
59,Ewenny Priory,https://cadw.gov.wales/visit/places-to-visit/ewenny-priory,CADW,An unusually warlike religious settlement,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C17-0910-0146.JPG?itok=XHKS0Gkj,51.4886085,-3.5679978,,
60,Ewloe Castle,https://cadw.gov.wales/visit/places-to-visit/ewloe-castle,CADW,Native-built castle in an unconventional forest setting,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0144.jpg?itok=AmG-dRRC,53.1999564,-3.0671509,,
61,Flint Castle,https://cadw.gov.wales/visit/places-to-visit/flint-castle,CADW,The earliest and most unusual of Wales’s English-built castles,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-DR01-1718-0018.jpg?itok=OV3f-90h,53.2517575,-3.1299039,,
62,Grosmont Castle,https://cadw.gov.wales/visit/places-to-visit/grosmont-castle,CADW,Big on the border,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C29-1314-0247.JPG?itok=wltsd0JQ,51.9153395,-2.8659859,,
63,Gwydir Uchaf Chapel,https://cadw.gov.wales/visit/places-to-visit/gwydir-uchaf-chapel,CADW,Look upwards to lift the spirits,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0152.jpg?itok=v6blWA9x,53.1319062,-3.8027924,,
64,Hafoty Medieval House,https://cadw.gov.wales/visit/places-to-visit/hafoty-medieval-house,CADW,From timber to stone,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0154.jpg?itok=7KPnOD5L,53.27971328,-4.155958282,,
65,Harlech Castle,https://cadw.gov.wales/visit/places-to-visit/harlech-castle,CADW,None of Edward I’s mighty coastal fortresses has a more spectacular setting,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-KC02-1617-0008.jpg?h=28faa4f6&amp;itok=fVdbbOUQ,52.8600101,-4.108972549,,
66,Haverfordwest Priory,https://cadw.gov.wales/visit/places-to-visit/haverfordwest-priory,CADW,Religious men with green fingers,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0065.jpg?itok=kNiBe8Gh,51.7982053,-4.9644936,,
67,Hen Gwrt Moated Site,https://cadw.gov.wales/visit/places-to-visit/hen-gwrt-moated-site,CADW,A well-preserved moat protecting a vanished manor,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C27-0809-0185.JPG?itok=ymmflDX4,51.8315282,-2.8782263,,
68,Heritage Cottage,https://cadw.gov.wales/visit/places-to-visit/heritage-cottage,CADW,A terraced time capsule,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2020-11/Heritage-Cottage-Aberdare.jpg?itok=yl40UyIA,51.7176599,-3.4769488,,
69,Holyhead Mountain Hut Circles,https://cadw.gov.wales/visit/places-to-visit/holyhead-mountain-hut-circles,CADW,A farming community from the past,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0018.JPG?itok=zqJF8Btk,53.30437745,-4.685969353,,
70,Kidwelly Castle,https://cadw.gov.wales/visit/places-to-visit/kidwelly-castle,CADW,Norman stronghold is a match for the greatest castles of Wales,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-PO07-1415-0007.jpg?itok=XQzzTwJD,51.73957319,-4.305782318,,
71,Lamphey Bishop's Palace,https://cadw.gov.wales/visit/places-to-visit/lamphey-bishops-palace,CADW,A bishop’s tipple,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-VH09-1718-0081.jpg?itok=lpEJR1oU,51.6721594,-4.867302,,
72,Laugharne Castle,https://cadw.gov.wales/visit/places-to-visit/laugharne-castle,CADW,"Mighty medieval castle, Tudor mansion and poet’s hideout",,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-06/SCX-VH09-1718-0088.jpg?itok=Tudj2EWp,51.7700176,-4.462251663,,
73,Llangar Old Parish Church,https://cadw.gov.wales/visit/places-to-visit/llangar-old-parish-church,CADW,The writing’s on the wall,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0180.jpg?itok=loezrvBi,52.958578,-3.401131,,
74,Llanmelin Wood Hillfort,https://cadw.gov.wales/visit/places-to-visit/llanmelin-wood-hillfort,CADW,Who lived here?,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0096.jpg?itok=8dkFInGj,51.6289583,-2.7788511,,
75,Llansteffan Castle,https://cadw.gov.wales/visit/places-to-visit/llansteffan-castle,CADW,A prime piece of real estate,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-DR03-1819-0037.jpg?itok=S3zoQW_2,51.7654814,-4.3906146,,
76,Llanthony Priory,https://cadw.gov.wales/visit/places-to-visit/llanthony-priory,CADW,A timeless treasure,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-BZ09-1819-0010.jpg?itok=I0JbM0wk,51.94464185,-3.036936522,,
77,Llawhaden Castle,https://cadw.gov.wales/visit/places-to-visit/llawhaden-castle,CADW,Forgotten castle-cum-mansion that stays in the memory,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-B03-0607-0075_0.JPG?itok=NuWWmWFU,51.8223275,-4.7976029,,
78,Lligwy Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/lligwy-burial-chamber,CADW,A true heavyweight,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0074.JPG?itok=s0-cxlFg,53.3499375,-4.2529207,,
79,Loughor Castle,https://cadw.gov.wales/visit/places-to-visit/loughor-castle,CADW,Thou shalt not cross,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0142.jpg?itok=5NDvJ2jE,51.6624199,-4.0773013,,
80,Maen Achwyfan Cross,https://cadw.gov.wales/visit/places-to-visit/maen-achwyfan-cross,CADW,The art of the Vikings,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0186.jpg?itok=SWiUC650,53.2986795,-3.3085457,,
81,Margam Stones Museum,https://cadw.gov.wales/visit/places-to-visit/margam-stones-museum,CADW,Magnificent carved stones reach back to the dawn of Christianity in Wales,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0143.jpg?itok=aDSmCfxJ,51.56330562,-3.730652332,,
82,Monmouth Castle,https://cadw.gov.wales/visit/places-to-visit/monmouth-castle,CADW,Ruined castle with a regal history,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-SC01-1516-0152.jpg?itok=geGrJpxv,51.8123527,-2.7171573,,
83,Montgomery Castle,https://cadw.gov.wales/visit/places-to-visit/montgomery-castle,CADW,More than the sum of its parts,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/MCX-SC01-1516-0042.jpg?itok=9o_UaxTr,52.5634601,-3.1498676,,
84,Neath Abbey and Gatehouse,https://cadw.gov.wales/visit/places-to-visit/neath-abbey-and-gatehouse,CADW,A site of power – both religious and industrial,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C68-1112-0040.JPG?itok=OptWG-iG,51.6637073,-3.8259536,,
85,"Newcastle, Bridgend",https://cadw.gov.wales/visit/places-to-visit/newcastle-bridgend,CADW,A castle built to last,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C23-1213-0172.JPG?itok=QJPRGMOD,51.5088921,-3.5832143,,
86,Newport Castle,https://cadw.gov.wales/visit/places-to-visit/newport-castle,CADW,Final remains of a significant waterfront fortress,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SVW-C25-1011-0019.JPG?itok=z6-Spddu,51.5907607,-2.995022,,
87,Ogmore Castle,https://cadw.gov.wales/visit/places-to-visit/ogmore-castle,CADW,Step into the past,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-DR02-1718-0058.jpg?itok=4rjnCzAR,51.4806479,-3.6115193,,
88,Old Beaupre Castle,https://cadw.gov.wales/visit/places-to-visit/old-beaupre-castle,CADW,Medieval manor with extravagant Tudor additions and status symbols,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/S123-420-D.JPG?itok=JcH7hQty,51.4389017,-3.427316,,
89,Oxwich Castle,https://cadw.gov.wales/visit/places-to-visit/oxwich-castle,CADW,A castle in name only but hugely impressive,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-BZ06-0910-0013.jpg?itok=Y17XZp-N,51.55551488,-4.168453217,,
90,Parc le Breos Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/parc-le-breos-burial-chamber,CADW,Superb example of a Neolithic chambered tomb,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/SCX-BZ06-0910-0019.jpg?itok=MapsQirX,51.5883328,-4.1126106,,
91,Penarth Fawr Medieval House,https://cadw.gov.wales/visit/places-to-visit/penarth-fawr-medieval-house,CADW,Rare stone-built dwelling with impressive timbered supports,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C16-1314-0535.JPG?itok=ftba6IbP,52.9131819,-4.3522145,,
92,Penmon Dovecote,https://cadw.gov.wales/visit/places-to-visit/penmon-dovecote,CADW,A bird box on a truly epic scale,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0234.JPG?itok=BvakK1Dv,53.30568531,-4.05577898,,
93,"Penmon Priory, Cross and St Seiriol’s Well",https://cadw.gov.wales/visit/places-to-visit/penmon-priory-cross-and-st-seiriols-well,CADW,Three for the price of one at this important holy site,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0251.jpg?itok=R2UfRKtN,53.30614517,-4.056413081,,
94,Penrhos Feilw Standing Stones,https://cadw.gov.wales/visit/places-to-visit/penrhos-feilw-standing-stones,CADW,Bronze Age standing stones shrouded in mystery,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0045.JPG?itok=uxgJ_6l9,53.29573433,-4.661797285,,
